Date,AAPL,FB,GOOGL,MSFT,NFLX
4/26/18,19366.15941,19573.86011,19631.17945,21797.1507,31620
4/27/18,19352,19979.52977,19865.26074,22740.79953,32257.5
4/30/18,19131.34059,19638.26921,19653.98084,22444.89047,31729.14071
5/1/18,19636.38047,19436,19309.69977,21717.92977,31656.71847
5/2/18,20677.13953,19690.25,19646,22132.66953,31788.29939
5/3/18,20753.84059,19789.69057,19482.02991,21659.67977,31884.17959
5/4/18,21033.5,19558.04023,19372.58972,21743.56,31488.41908
5/7/18,21851.23917,20040.55068,20023.91029,22174.60953,32842.97898
5/8/18,21828.82059,20142.25,20227.77991,22333.04953,33241.79939
5/9/18,22012.90035,20302.70977,20217.89954,22370.33047,33536.58092
5/10/18,22153.32059,20695.94932,20805,22708.17977,33813
5/11/18,22359.82059,20888.05068,20907.79065,22787.4007,33624.29939
5/14/18,22303.17941,21211.23079,21005.82897,22815.35953,33379.5
5/15/18,22040.03988,20891.44057,20841.10046,22656.91953,33245.8802
5/16/18,21956.26083,20758.09966,20616.70935,22684.88023,33280.5599
5/17/18,22184,20642.83921,20547.73926,22545.08047,33408.0599
5/18/18,22088.42024,20734.37057,20254,22370.33047,33139.79939
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
