Date,Open,High,Low,Close,Adj Close,Volume
2017-11-13,83.660004,83.940002,83.459999,83.930000,82.761429,14196900
2017-11-14,83.500000,84.099998,82.980003,84.050003,82.879761,18801300
2017-11-15,83.470001,83.690002,82.690002,82.980003,82.235588,19383100
2017-11-16,83.099998,83.419998,82.940002,83.199997,82.453613,20962800
2017-11-17,83.120003,83.120003,82.239998,82.400002,81.660789,22079000
2017-11-20,82.400002,82.589996,82.250000,82.529999,81.789627,16315000
2017-11-21,82.739998,83.839996,82.739998,83.720001,82.968948,21237500
2017-11-22,83.830002,83.900002,83.040001,83.110001,82.364426,20553100
2017-11-24,83.010002,83.430000,82.779999,83.260002,82.513077,7425600
2017-11-27,83.309998,83.980003,83.300003,83.870003,83.117607,18265200
2017-11-28,84.070000,85.059998,84.019997,84.879997,84.118538,21926000
2017-11-29,84.709999,84.919998,83.180000,83.339996,82.592354,27381100
2017-11-30,83.510002,84.519997,83.339996,84.169998,83.414909,33054600
2017-12-01,83.599998,84.809998,83.220001,84.260002,83.504105,29532100
2017-12-04,84.419998,84.430000,80.699997,81.080002,80.352631,39094900
2017-12-05,81.339996,82.680000,80.980003,81.589996,80.858047,26152300
2017-12-06,81.550003,83.139999,81.430000,82.779999,82.037376,26162100
2017-12-07,82.540001,82.800003,82.000000,82.489998,81.749977,23184500
2017-12-08,83.629997,84.580002,83.330002,84.160004,83.405006,24489100
2017-12-11,84.290001,85.370003,84.120003,85.230003,84.465401,22857900
2017-12-12,85.309998,86.050003,85.080002,85.580002,84.812263,23924100
2017-12-13,85.739998,86.000000,85.169998,85.349998,84.584328,22062700
2017-12-14,85.430000,85.870003,84.529999,84.690002,83.930252,19306000
2017-12-15,85.260002,87.089996,84.879997,86.849998,86.070869,53936700
2017-12-18,87.120003,87.500000,86.230003,86.379997,85.605080,22283800
2017-12-19,86.349998,86.349998,85.269997,85.830002,85.060020,23524800
2017-12-20,86.199997,86.300003,84.709999,85.519997,84.752792,23674900
2017-12-21,86.050003,86.099998,85.400002,85.500000,84.732979,17990700
2017-12-22,85.400002,85.629997,84.919998,85.510002,84.742889,14145800
2017-12-26,85.309998,85.529999,85.029999,85.400002,84.633873,9891200
2017-12-27,85.650002,85.980003,85.220001,85.709999,84.941093,14678000
2017-12-28,85.900002,85.930000,85.550003,85.720001,84.951004,10594300
2017-12-29,85.629997,86.050003,85.500000,85.540001,84.772621,18717400
2018-01-02,86.129997,86.309998,85.500000,85.949997,85.178940,22483800
2018-01-03,86.059998,86.510002,85.970001,86.349998,85.575356,26061400
2018-01-04,86.589996,87.660004,86.570000,87.110001,86.328537,21912000
2018-01-05,87.660004,88.410004,87.430000,88.190002,87.398849,23407100
2018-01-08,88.199997,88.580002,87.599998,88.279999,87.488037,22113000
2018-01-09,88.650002,88.730003,87.860001,88.220001,87.428581,19484300
2018-01-10,87.860001,88.190002,87.410004,87.820000,87.032166,18652200
2018-01-11,88.129997,88.129997,87.239998,88.080002,87.289833,17808900
2018-01-12,88.669998,89.779999,88.449997,89.599998,88.796204,24271500
2018-01-16,90.099998,90.790001,88.010002,88.349998,87.557411,36599700
2018-01-17,89.080002,90.279999,88.750000,90.139999,89.331352,25621200
2018-01-18,89.800003,90.669998,89.660004,90.099998,89.291710,24159700
2018-01-19,90.139999,90.610001,89.660004,90.000000,89.192604,36875000
2018-01-22,90.000000,91.620003,89.739998,91.610001,90.788170,23601600
2018-01-23,91.900002,92.300003,91.540001,91.900002,91.075562,23412800
2018-01-24,92.550003,93.430000,91.580002,91.820000,90.996284,33277500
2018-01-25,92.470001,93.239998,91.930000,92.330002,91.501709,26383200
2018-01-26,93.120003,94.059998,92.580002,94.059998,93.216187,29172200
2018-01-29,95.139999,95.449997,93.720001,93.919998,93.077446,31569900
2018-01-30,93.300003,93.660004,92.099998,92.739998,91.908028,38635100
2018-01-31,93.750000,95.400002,93.510002,95.010002,94.157661,48756300
2018-02-01,94.790001,96.070000,93.580002,94.260002,93.414398,47227900
2018-02-02,93.639999,93.970001,91.500000,91.779999,90.956635,47867800
2018-02-05,90.559998,93.239998,88.000000,88.000000,87.210556,51031500
2018-02-06,86.889999,91.480003,85.250000,91.330002,90.510681,67998600
2018-02-07,90.489998,91.769997,89.199997,89.610001,88.806107,41107600
2018-02-08,89.709999,89.879997,84.760002,85.010002,84.247375,55628700
2018-02-09,86.300003,88.930000,83.830002,88.180000,87.388939,63499100
2018-02-12,88.739998,89.779999,87.930000,89.129997,88.330406,35720300
2018-02-13,88.930000,90.000000,87.800003,89.830002,89.024132,26407700
2018-02-14,88.510002,90.989998,88.410004,90.809998,90.418091,34960900
2018-02-15,91.209999,92.720001,90.620003,92.660004,92.260117,27823900
2018-02-16,92.449997,93.500000,91.800003,92.000000,91.602959,30596900
2018-02-20,91.480003,93.059998,91.010002,92.720001,92.319855,30911700
2018-02-21,92.980003,93.360001,91.489998,91.489998,91.095154,26922500
2018-02-22,92.050003,92.730003,91.360001,91.730003,91.334129,24392800
2018-02-23,93.599998,94.070000,92.360001,94.059998,93.654068,26329200
2018-02-26,94.400002,95.449997,94.250000,95.419998,95.008194,30199800
2018-02-27,95.739998,95.839996,94.199997,94.199997,93.793457,25869100
2018-02-28,94.839996,95.709999,93.629997,93.769997,93.365318,31167300
2018-03-01,93.989998,94.570000,91.839996,92.849998,92.449287,37135600
2018-03-02,91.580002,93.150002,90.860001,93.050003,92.648430,32830400
2018-03-05,92.339996,94.269997,92.260002,93.639999,93.235878,23901600
2018-03-06,94.339996,94.489998,92.940002,93.320000,92.917259,22175800
2018-03-07,93.160004,93.940002,92.430000,93.860001,93.454933,26716100
2018-03-08,94.269997,95.099998,93.769997,94.430000,94.022469,25887800
2018-03-09,95.290001,96.540001,95.000000,96.540001,96.123367,36937300
2018-03-12,96.500000,97.209999,96.040001,96.769997,96.352371,26073700
2018-03-13,97.000000,97.239998,93.970001,94.410004,94.002563,35387800
2018-03-14,95.120003,95.410004,93.500000,93.849998,93.444969,32132000
2018-03-15,93.529999,94.580002,92.830002,94.180000,93.773552,27611000
2018-03-16,94.680000,95.379997,93.919998,94.599998,94.191734,49081300
2018-03-19,93.739998,93.900002,92.110001,92.889999,92.489113,33344100
2018-03-20,93.050003,93.769997,93.000000,93.129997,92.728081,23075200
2018-03-21,92.930000,94.050003,92.209999,92.480003,92.080887,24457100
2018-03-22,91.269997,91.750000,89.660004,89.790001,89.402496,38604700
2018-03-23,89.500000,90.459999,87.080002,87.180000,86.803757,44068900
