,Date,number shares,open,prediction,status,balance,profit/loss,Actual Status
0,2018-01-02,232.0,86.129997,83.92901485,0.0,19982.1593,0.0,Buy
1,2018-01-03,232.0,86.059998,83.7628255,1.0,19965.919535999998,-16.239764000001742,Sell
2,2018-01-04,232.0,86.589996,83.6996324,3.0,20088.879072,106.71977200000038,Pass
3,2018-01-05,232.0,87.660004,84.78225963,3.0,20337.120928,354.9616280000009,Pass
4,2018-01-08,232.0,88.199997,84.52484353,3.0,20462.399304,480.2400039999993,Pass
5,2018-01-09,232.0,88.650002,84.48519506,3.0,20566.800464,584.6411640000006,Pass
6,2018-01-10,232.0,87.860001,85.35580533,3.0,20383.520232,401.3609319999996,Pass
7,2018-01-11,232.0,88.129997,84.95501833,3.0,20446.159304,464.00000400000135,Pass
8,2018-01-12,232.0,88.669998,84.86776123,3.0,20571.439536,589.2802360000023,Pass
9,2018-01-16,232.0,90.099998,85.47370048,3.0,20903.199536,921.0402360000007,Pass
10,2018-01-17,232.0,89.080002,84.64737318,3.0,20666.560464,684.401163999999,Pass
11,2018-01-18,232.0,89.800003,84.91040945,3.0,20833.600696,851.441396000002,Pass
12,2018-01-19,232.0,90.139999,86.05832513,3.0,20912.479768,930.3204680000017,Pass
13,2018-01-22,232.0,90.0,85.60997732,3.0,20880.0,897.8407000000007,Pass
14,2018-01-23,232.0,91.900002,85.6368016,3.0,21320.800464,1338.6411640000006,Pass
15,2018-01-24,232.0,92.550003,87.74807725,3.0,21471.600696,1489.441396000002,Pass
16,2018-01-25,232.0,92.470001,86.27729615,3.0,21453.040232,1470.880932,Pass
17,2018-01-26,232.0,93.120003,86.73271579,3.0,21603.840696,1621.681396,Pass
18,2018-01-29,232.0,95.139999,88.28069052,3.0,22072.479768,2090.3204680000017,Pass
19,2018-01-30,232.0,93.300003,88.81470547,3.0,21645.600696,1663.441396000002,Pass
20,2018-01-31,232.0,93.75,88.99762872,3.0,21750.0,1767.8407000000007,Pass
21,2018-02-01,232.0,94.790001,88.88511949,3.0,21991.280232,2009.1209320000016,Pass
22,2018-02-02,232.0,93.639999,89.02537846,3.0,21724.479768,1742.3204680000017,Pass
23,2018-02-05,232.0,90.559998,88.43105253,3.0,21009.919535999998,1027.7602359999983,Pass
24,2018-02-06,241.0,86.889999,89.53963176,0.0,20940.489759,958.3304590000007,Buy
25,2018-02-07,241.0,90.489998,88.84441358,1.0,21808.089518,1825.9302180000013,Sell
26,2018-02-08,241.0,89.709999,88.41343799,3.0,21620.109759,1637.9504589999997,Pass
