,Date,number shares,open,prediction,status,balance,profit/loss,Actual Status
0,2018-01-02,112.0,177.679993,178.073923,0.0,19900.15922,0.0,Buy
1,2018-01-03,112.0,181.880005,177.1356983,1.0,20370.56056,470.40134000000035,Sell
2,2018-01-04,112.0,184.899994,176.6931015,3.0,20708.799328,808.6401079999996,Pass
3,2018-01-05,112.0,185.589996,176.5384342,3.0,20786.079552000003,885.9203320000015,Pass
4,2018-01-08,112.0,187.199997,177.1083689,3.0,20966.399664,1066.2404439999991,Pass
5,2018-01-09,112.0,188.699997,177.1664687,3.0,21134.399664,1234.2404439999991,Pass
6,2018-01-10,112.0,186.940002,178.453422,3.0,20937.280224,1037.121003999997,Pass
7,2018-01-11,112.0,188.399994,178.1734045,3.0,21100.799328,1200.6401079999996,Pass
8,2018-01-12,118.0,178.059998,178.7907724,0.0,21011.079764000002,1110.9205440000005,Buy
9,2018-01-16,118.0,181.5,180.6298437,1.0,21417.0,1516.8407799999986,Sell
10,2018-01-17,119.0,179.259995,180.6038355,0.0,21331.939405,1431.7801849999996,Buy
11,2018-01-18,119.0,178.130005,181.2997304,2.0,21197.470595000003,1297.3113750000011,Hold
12,2018-01-19,119.0,180.850006,180.8832491,2.0,21521.150714,1620.991493999998,Hold
13,2018-01-22,119.0,180.800003,182.0089846,2.0,21515.200357,1615.0411370000002,Hold
14,2018-01-23,119.0,186.050003,181.369785,1.0,22139.950357,2239.791137,Sell
15,2018-01-24,119.0,189.889999,181.9967487,3.0,22596.909881,2696.750660999998,Pass
16,2018-01-25,119.0,187.949997,181.7686899,3.0,22366.049643,2465.890422999997,Pass
17,2018-01-26,119.0,187.75,182.4694287,3.0,22342.25,2442.0907799999986,Pass
18,2018-01-29,119.0,188.75,182.4751821,3.0,22461.25,2561.0907799999986,Pass
19,2018-01-30,119.0,187.619995,183.5269448,3.0,22326.779404999997,2426.620184999996,Pass
20,2018-01-31,119.0,188.369995,183.3276261,3.0,22416.029404999997,2515.870184999996,Pass
21,2018-02-01,119.0,188.220001,182.6409517,3.0,22398.180119,2498.020898999999,Pass
22,2018-02-02,119.0,192.039993,184.3848859,3.0,22852.759167,2952.599946999999,Pass
23,2018-02-05,119.0,186.929993,185.2704925,3.0,22244.669167,2344.5099469999986,Pass
24,2018-02-06,124.0,178.570007,185.6185317,0.0,22142.680868,2242.521647999998,Buy
25,2018-02-07,124.0,184.149994,185.3756561,2.0,22834.599255999998,2934.4400359999963,Hold
26,2018-02-08,124.0,181.009995,185.9018551,2.0,22445.23938,2545.0801599999977,Hold
27,2018-02-09,124.0,174.759995,186.9367939,2.0,21670.23938,1770.0801599999977,Hold
28,2018-02-12,124.0,177.059998,185.9355882,2.0,21955.439752000002,2055.2805320000007,Hold
29,2018-02-13,124.0,175.619995,186.213322,2.0,21776.87938,1876.7201599999971,Hold
30,2018-02-14,124.0,173.449997,185.3916175,2.0,21507.799628,1607.6404079999993,Hold
31,2018-02-15,124.0,180.5,185.9088782,2.0,22382.0,2481.8407799999986,Hold
32,2018-02-16,124.0,178.990005,185.9963334,2.0,22194.76062,2294.6013999999996,Hold
33,2018-02-20,124.0,175.770004,185.7465709,2.0,21795.480496,1895.3212759999988,Hold
34,2018-02-21,124.0,176.710007,184.94922,2.0,21912.040868,2011.8816479999987,Hold
35,2018-02-22,124.0,178.699997,183.7060067,2.0,22158.799628,2258.6404079999993,Hold
36,2018-02-23,124.0,179.899994,183.2641017,2.0,22307.599255999998,2407.4400359999963,Hold
37,2018-02-26,124.0,184.580002,183.5289564,1.0,22887.920248000002,2987.761028000001,Sell
38,2018-02-27,124.0,184.449997,183.6006962,3.0,22871.799628,2971.6404079999993,Pass
39,2018-02-28,125.0,182.300003,183.2529123,0.0,22787.500375,2887.3411549999983,Buy
40,2018-03-01,125.0,179.009995,182.5942187,2.0,22376.249375,2476.090154999998,Hold
41,2018-03-02,125.0,173.289993,180.4127599,2.0,21661.249125000002,1761.0899050000007,Hold
42,2018-03-05,125.0,176.199997,181.0653058,2.0,22024.999625,2124.840404999999,Hold
43,2018-03-06,125.0,181.779999,179.5099501,1.0,22722.499875,2822.340655,Sell
44,2018-03-07,125.0,178.740005,178.4760035,3.0,22342.500625,2442.341404999999,Pass
45,2018-03-08,125.0,183.559998,178.2189719,3.0,22944.999750000003,3044.8405300000013,Pass
46,2018-03-09,125.0,183.910004,177.9368927,3.0,22988.7505,3088.591279999997,Pass
47,2018-03-12,125.0,185.229996,177.5527669,3.0,23153.7495,3253.5902800000003,Pass
48,2018-03-13,125.0,185.610001,177.2219698,3.0,23201.250125000002,3301.090905000001,Pass
49,2018-03-14,125.0,182.600006,176.5275152,3.0,22825.00075,2924.841529999998,Pass
50,2018-03-15,125.0,183.240005,177.0303789,3.0,22905.000625,3004.841404999999,Pass
51,2018-03-16,125.0,184.490005,177.5313784,3.0,23061.250625,3161.091404999999,Pass
52,2018-03-19,130.0,177.009995,178.528823,0.0,23011.29935,3111.1401299999998,Buy
53,2018-03-20,130.0,167.470001,180.4103826,2.0,21771.10013,1870.9409099999975,Hold
54,2018-03-21,130.0,164.800003,181.2247786,2.0,21424.00039,1523.8411699999997,Hold
55,2018-03-22,130.0,166.130005,180.908522,2.0,21596.900650000003,1696.7414300000019,Hold
56,2018-03-23,130.0,165.440002,181.66938,2.0,21507.200259999998,1607.0410399999964,Hold
57,2018-03-26,130.0,160.820007,182.7697067,2.0,20906.60091,1006.4416899999997,Hold
58,2018-03-27,130.0,156.309998,182.7524534,2.0,20320.299740000002,420.14052000000083,Hold
59,2018-03-28,130.0,151.649994,182.4076255,2.0,19714.499219999998,-185.6600000000035,Hold
60,2018-03-29,130.0,155.149994,181.3197571,2.0,20169.499219999998,269.3399999999965,Hold
61,2018-04-02,130.0,157.809998,179.5062546,2.0,20515.299740000002,615.1405200000008,Hold
62,2018-04-03,130.0,156.550003,179.5227446,2.0,20351.50039,451.3411699999997,Hold
63,2018-04-04,130.0,152.029999,177.6188724,2.0,19763.89987,-136.25935000000027,Hold
64,2018-04-05,130.0,161.559998,176.9965344,2.0,21002.799740000002,1102.6405200000008,Hold
65,2018-04-06,130.0,157.729996,174.8481694,2.0,20504.89948,604.7402599999987,Hold
66,2018-04-09,130.0,157.820007,173.4249842,2.0,20516.60091,616.4416899999997,Hold
67,2018-04-10,130.0,157.929993,172.2220971,2.0,20530.89909,630.7398699999976,Hold
68,2018-04-11,130.0,165.360001,170.0553882,2.0,21496.800130000003,1596.640910000002,Hold
69,2018-04-12,130.0,166.979996,167.3933063,2.0,21707.39948,1807.2402599999987,Hold
70,2018-04-13,130.0,164.580002,166.8399333,2.0,21395.400260000002,1495.2410400000008,Hold
71,2018-04-16,130.0,165.720001,164.0557558,1.0,21543.60013,1643.4409099999975,Sell
72,2018-04-17,130.0,165.830002,162.5008236,3.0,21557.900260000002,1657.7410400000008,Pass
73,2018-04-18,130.0,166.880005,161.0875998,3.0,21694.400650000003,1794.2414300000019,Pass
74,2018-04-19,130.0,166.199997,159.2416858,3.0,21605.99961,1705.8403899999976,Pass
75,2018-04-20,130.0,167.789993,158.1909093,3.0,21812.699090000002,1912.5398700000005,Pass
76,2018-04-23,130.0,167.270004,158.4940443,3.0,21745.10052,1844.9412999999986,Pass
77,2018-04-24,130.0,165.429993,158.1204684,3.0,21505.89909,1605.7398699999976,Pass
78,2018-04-25,130.0,160.139999,158.1279352,3.0,20818.199869999997,918.0406499999954,Pass
79,2018-04-26,130.0,173.220001,157.8955979,3.0,22518.60013,2618.4409099999975,Pass
80,2018-04-27,130.0,176.809998,158.8066986,3.0,22985.299740000002,3085.140520000001,Pass
81,2018-04-30,130.0,173.789993,159.2309366,3.0,22592.699090000002,2692.5398700000005,Pass
82,2018-05-01,130.0,172.0,160.3883052,3.0,22360.0,2459.8407799999986,Pass
83,2018-05-02,130.0,174.25,161.1824996,3.0,22652.5,2752.3407799999986,Pass
84,2018-05-03,130.0,175.130005,161.2617744,3.0,22766.900650000003,2866.741430000002,Pass
85,2018-05-04,130.0,173.080002,162.9588212,3.0,22500.400260000002,2600.241040000001,Pass
86,2018-05-07,130.0,177.350006,164.3165212,3.0,23055.500780000002,3155.3415600000008,Pass
87,2018-05-08,130.0,178.25,165.6472191,3.0,23172.5,3272.3407799999986,Pass
88,2018-05-09,130.0,179.669998,165.9480311,3.0,23357.099739999998,3456.9405199999965,Pass
89,2018-05-10,130.0,183.149994,166.2443106,3.0,23809.499219999998,3909.3399999999965,Pass
90,2018-05-11,130.0,184.850006,167.603512,3.0,24030.500780000002,4130.341560000001,Pass
91,2018-05-14,130.0,187.710007,168.5037828,3.0,24402.300909999998,4502.141689999997,Pass
92,2018-05-15,130.0,184.880005,170.0479951,3.0,24034.400650000003,4134.241430000002,Pass
93,2018-05-16,130.0,183.699997,171.1205198,3.0,23880.99961,3980.8403899999976,Pass
94,2018-05-17,130.0,182.679993,171.7953773,3.0,23748.39909,3848.2398699999976,Pass
95,2018-05-18,130.0,183.490005,172.6911361,3.0,23853.70065,3953.5414299999975,Pass
